New Mexico Tech Lightning Mapping Array -- analyzed data
Exported on: Mon May  4 13:35:20 2020
Original data file: /Users/sharm261/Desktop/mount/OKLMA_data_2013_cases/20130519/LYLOUT_130519_212000_0600.dat.gz
Analysis started: Thu Aug 29 03:15:48 2013
Analysis finished: Thu Aug 29 06:41:36 2013
Data start time: 05/19/13 21:20:00
Number of seconds analyzed: 600
Location: OK LMA 2002/2005
Data:time (UT sec of day), lat, lon, alt(m), reduced chi^2, # of stations contributed, P(dBW), charge, mask
Number of events:       39389
Flash stats: not saved
*** data ***
 76802.691566863   35.622967  -97.498878   7822.6   0.11  7  1.5600e+01  0   78d
 76802.700535824   35.623730  -97.495094   7640.0   0.18  7  1.3600e+01  0   78d
 76802.715407290   35.664803  -97.399673  16291.8   0.06 10  1.8300e+01  0 13d8d
 76802.723422908   35.675491  -97.268791   9577.4   0.19  7  1.4300e+01  0   78d
 76802.726788726   35.673603  -97.275940   9448.8   0.22 10  1.6600e+01  0 11f8d
 76802.732069135   35.678989  -97.271622   9525.9   0.18  7  1.5100e+01  0  158d
 76802.732589731   35.680984  -97.271530   9530.6   0.36  7  1.4600e+01  0   78d
 76802.741277691   35.595451  -97.470306   7485.0   0.31 11  1.5100e+01  0 13f8d
 76802.741993455   35.595669  -97.470078   7445.1   0.23  8  1.5100e+01  0  178d
 76802.749778763   35.682205  -97.280502   9434.0   0.15  8  1.5100e+01  0  178d
 76802.751996984   35.678555  -97.276840   9483.9   0.15  7  1.2300e+01  0  158d
 76802.752402535   35.681385  -97.284332   9409.9   0.37 11  1.6500e+01  0 13f8d
 76802.767334352   35.682220  -97.298004   9260.3   0.31  8  1.5200e+01  3   f8d
 76802.771121160   35.597263  -97.470261   7444.2   0.53  7  1.6200e+01  0  1785
 76802.771380196   35.675648  -97.310303   9186.6   0.35  8  1.1400e+01  3 13e0c
 76802.782438095   35.677528  -97.303406   9286.5   0.49 11  1.7300e+01  3 13f8d
 76802.782664064   35.594017  -97.472710   7367.7   0.21  9  1.4800e+01  0  378d
 76802.785909802   35.593292  -97.471924   7449.9   0.21  8  1.4900e+01  0  178d
 76802.793822564   35.690258  -97.294861   9490.2   0.33 11  1.6100e+01  3 13f8d
 76802.794684696   35.690651  -97.298279   9352.4   0.10  8  1.5800e+01  3 10d8d
 76802.804208867   35.674919  -97.264244   9606.3   0.34  7  1.0900e+01  3  158d
 76802.804454989   35.593338  -97.472603   7491.9   0.55  7  9.3000e+00  0   78d
 76802.821070544   35.687489  -97.272476   9437.0   0.24  7  1.1500e+01  3  158d
 76802.826447515   35.687737  -97.272827   9463.1   0.06  8  1.2900e+01  3 1170d
 76802.828141653   35.683041  -97.263573   9705.0   0.07  7  1.4400e+01  3   78d
 76802.835773837   35.692070  -97.303749   9122.8   0.44  9  1.5400e+01  3 13f0c
 76802.845200361   35.673328  -97.289032   9604.7   0.18  8  1.2000e+01  3  178d
 76802.851634216   35.670380  -97.282661   9759.7   0.40  7  1.1000e+01  3   b8d
 76802.851796211   35.784859  -97.348129   7312.0   0.28  8  1.5200e+01  0  1e8d
 76802.853702929   35.592541  -97.473907   7671.3   0.22  7  1.1500e+01  0   78d
 76802.856501567   35.684189  -97.261429   9661.2   0.34  9  1.4800e+01  3 1178d
 76802.869558439   35.788364  -97.364937   7512.7   0.59  8  1.2200e+01  0  178d
 76802.871197312   35.787399  -97.364418   7447.0   0.38  8  1.4900e+01  0  178d
 76802.878764285   35.684433  -97.260422   9605.7   0.23 10  1.4900e+01  3 1378d
 76802.879977908   35.677071  -97.481293  10344.1   0.23  8  1.5300e+01  0   f8d
 76802.881661563   35.675808  -97.309845  10334.9   0.55  7  1.6300e+01  3 13c84
 76802.884506411   35.800919  -97.368118   6442.5   0.31  7  1.4100e+01  0   78d
 76802.886588448   35.678703  -97.483879  10228.7   0.12 10  1.0400e+01  0 11f8d
 76802.889319269   35.802391  -97.360664   6260.9   0.53  7  1.5200e+01  0   78d
 76802.890175702   35.804001  -97.358658   6358.5   0.28  7  1.3000e+01  0   78d
 76802.892541109   35.682915  -97.308327   9134.6   0.10  7  1.4900e+01  3  170d
 76802.893791674   35.801601  -97.355408   6014.0   0.30  7  1.2500e+01  0   78d
 76802.897196589   35.684288  -97.311668   8923.0   0.27  7  1.3900e+01  3   78d
 76802.897683427   35.682632  -97.313538   8909.2   0.16  7  1.2900e+01  3   78d
 76802.898297480   35.678295  -97.486168  10100.2   0.84 11  1.2300e+01  0 13f8d
 76802.899915145   35.678223  -97.487961  10093.7   0.39  7  1.5300e+01  0   78d
 76802.900856839   35.686314  -97.251480   9809.8   0.66  8  1.8800e+01  3 11785
 76802.901291093   35.679581  -97.318657   8859.8   0.21  8  1.7200e+01  3   f8d
 76802.903519452   35.678665  -97.324539   8874.9   0.12  9  1.4800e+01  3  3d8d
 76802.904043786   35.675644  -97.321075   8327.3   0.52  9  1.4200e+01  3  1f8d
 76802.904491787   35.703285  -97.407822   7921.6   0.46  7  1.0200e+01  0  1785
 76802.905008085   35.703411  -97.408249   7728.8   0.36  7  9.7000e+00  0   78d
 76802.906890224   35.704170  -97.409218   8162.5   0.28  8  1.5300e+01  0  178d
 76802.909107128   35.676800  -97.488106   8836.7   0.40  8  1.2400e+01  0  1d8d
 76802.911313306   35.677410  -97.494812   8957.0   0.34  7  1.2700e+01  0   78d
